gi_number	country	geo_loc	collection_year	host	comment	isolate
EU853601	Mali	-	2006	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	07238MAL
EU853602	Mali	-	2006	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	07233MAL
EU853603	Mali	-	2007	Canis lupus familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	07213MAL
EU853604	Mali	-	2007	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	07220MAL
EU853605	Mali	-	2006	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	07232MAL
EU853606	Mauritania	-	1993	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	9311MAU
EU853607	Mauritania	-	1991	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	9131MAU
EU853608	Mauritania	-	1991	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	9132MAU
EU853609	Mauritania	-	1993	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	9312MAU
EU853610	Mauritania	-	1993	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	9314MAU
EU853611	Mauritania	-	1994	Canis familiaris	Curation was part of MADDOG project (PMID:35500026); Curator: Kathryn Campbell, SBOHVM, University of Glasgow	9421MAU
